,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
80,45,5466,5471,29230.333980000003,28730.51,-22492.07910000021,-0.01709949603524863,2023-08-17 00:30:00,2023-08-17 05:30:00,0 days 05:00:00
81,-45,5471,5498,28673.04898,26482.13,98591.35409999994,0.07641039435771924,2023-08-17 05:30:00,2023-08-18 08:30:00,1 days 03:00:00
82,52,5498,5653,26535.09426,26356.52,-9285.861520000064,-0.006729739048607408,2023-08-18 08:30:00,2023-08-24 19:30:00,6 days 11:00:00
83,-52,5653,5676,26303.80696,26108.7,10145.561920000051,0.007417441904766786,2023-08-24 19:30:00,2023-08-25 18:30:00,0 days 23:00:00
84,53,5676,5681,26160.917400000002,25889.99,-14359.152200000026,-0.010356188808577471,2023-08-25 18:30:00,2023-08-25 23:30:00,0 days 05:00:00
85,-53,5681,5836,25838.210020000002,26044.46,-10931.248939999834,-0.007982363323169483,2023-08-25 23:30:00,2023-09-01 10:30:00,6 days 11:00:00
86,52,5836,5974,26096.548919999997,25748.25,-18111.543839999867,-0.01334655095843218,2023-09-01 10:30:00,2023-09-07 04:30:00,5 days 18:00:00
87,-52,5974,5994,25696.7535,25902.87,-10718.058000000005,-0.00802111052666632,2023-09-07 04:30:00,2023-09-08 00:30:00,0 days 20:00:00
88,51,5994,6028,25954.67574,25873.38,-4146.082739999885,-0.0031322194434010298,2023-09-08 00:30:00,2023-09-09 10:30:00,1 days 10:00:00
89,-52,6028,6034,25821.63324,25868.5,-2437.0715200000413,-0.00181501919589655,2023-09-09 10:30:00,2023-09-09 16:30:00,0 days 06:00:00
90,51,6034,6036,25920.237,25852.74,-3442.346999999969,-0.0026040271159557538,2023-09-09 16:30:00,2023-09-09 18:30:00,0 days 02:00:00
91,-51,6036,6132,25801.03452,26212.51,-20985.249479999864,-0.01594802253688843,2023-09-09 18:30:00,2023-09-13 18:30:00,4 days 00:00:00
92,50,6132,6141,26264.935019999997,26226.77,-1908.2509999998365,-0.0014530787900649544,2023-09-13 18:30:00,2023-09-14 03:30:00,0 days 09:00:00
93,-50,6141,6154,26174.316460000002,26334.43,-8005.676999999923,-0.006117200433665149,2023-09-14 03:30:00,2023-09-14 16:30:00,0 days 13:00:00
94,49,6154,6284,26387.098860000002,27183.67,39031.985859999826,0.030187901452384036,2023-09-14 16:30:00,2023-09-20 02:30:00,5 days 10:00:00
95,-49,6284,6340,27129.302659999998,26647.7,23598.530339999845,0.017752120872243538,2023-09-20 02:30:00,2023-09-22 10:30:00,2 days 08:00:00
96,51,6340,6516,26700.9954,27001.01,15300.744599999929,0.011236082981385787,2023-09-22 10:30:00,2023-09-29 18:30:00,7 days 08:00:00
97,-51,6516,6526,26947.00798,26887.2,3050.2069799998862,0.0022194664448234036,2023-09-29 18:30:00,2023-09-30 04:30:00,0 days 10:00:00
